Date,High price,Low price,Closing price,Average price,Total volume,Turnover,
2004-04-20,727.84,719.87,725.07,,,,
2004-04-19,716.91,712.24,716.19,,,,
2004-04-16,717.66,708.00,713.12,,,,
2004-04-15,717.08,708.76,710.89,,,,
2004-04-14,717.83,706.78,714.18,,,,
2004-04-13,726.71,719.79,720.87,,,,
2004-04-08,725.01,718.87,719.93,,,,
2004-04-07,726.23,717.92,718.04,,,,
2004-04-06,725.66,712.22,717.59,,,,
2004-04-05,721.90,714.61,721.04,,,,
2004-04-02,716.10,703.94,713.11,,,,
2004-04-01,705.55,693.72,705.05,,,,
2004-03-31,694.66,687.20,690.28,,,,
2004-03-30,692.60,685.80,688.10,,,,
2004-03-29,691.59,679.80,691.59,,,,
2004-03-26,683.40,675.98,679.57,,,,
2004-03-25,678.40,668.49,678.33,,,,
2004-03-24,675.25,665.26,666.61,,,,
2004-03-23,673.17,660.11,670.17,,,,
2004-03-22,677.44,660.56,662.73,,,,
2004-03-19,684.06,677.20,681.76,,,,
2004-03-18,693.83,679.36,679.42,,,,
2004-03-17,693.92,684.12,693.10,,,,
2004-03-16,684.20,672.92,683.41,,,,
2004-03-15,690.93,678.35,680.19,,,,
2004-03-12,690.56,674.18,688.93,,,,
2004-03-11,699.07,676.27,683.16,,,,
2004-03-10,706.35,701.52,705.83,,,,
2004-03-09,715.25,706.48,706.98,,,,
2004-03-08,720.94,716.01,718.39,,,,
2004-03-05,721.84,712.81,717.24,,,,
2004-03-04,723.72,715.59,716.41,,,,
2004-03-03,719.56,711.98,718.99,,,,
2004-03-02,714.27,706.97,713.93,,,,
2004-03-01,705.86,697.51,704.47,,,,
2004-02-27,704.46,697.19,698.18,,,,
2004-02-26,700.09,695.18,697.44,,,,
2004-02-25,695.28,687.49,693.77,,,,
2004-02-24,702.02,687.75,690.56,,,,
2004-02-23,707.89,700.83,703.90,,,,
2004-02-20,704.98,698.16,700.10,,,,
2004-02-19,709.75,700.81,705.81,,,,
2004-02-18,703.62,696.96,699.60,,,,
2004-02-17,701.78,696.44,700.00,,,,
2004-02-16,697.33,687.45,695.80,,,,
2004-02-13,695.38,688.61,689.16,,,,
2004-02-12,706.37,694.03,694.13,,,,
2004-02-11,703.17,691.26,699.79,,,,
2004-02-10,699.79,688.18,698.34,,,,
2004-02-09,695.23,689.27,691.47,,,,
2004-02-06,692.77,685.19,687.59,,,,
2004-02-05,674.08,665.85,673.12,,,,
2004-02-04,669.57,662.39,667.89,,,,
2004-02-03,669.95,665.81,669.87,,,,
2004-02-02,680.15,669.72,670.48,,,,
2004-01-30,675.69,669.59,673.91,,,,
2004-01-29,671.01,664.42,666.32,,,,
2004-01-28,675.57,669.91,672.10,,,,
2004-01-27,684.06,675.18,675.18,,,,
2004-01-26,676.87,672.07,676.87,,,,
2004-01-23,677.20,668.46,674.65,,,,
2004-01-22,676.39,667.40,672.92,,,,
2004-01-21,671.85,663.58,667.00,,,,
2004-01-20,678.10,669.60,671.25,,,,
2004-01-19,680.09,674.87,676.15,,,,
2004-01-16,672.83,667.62,672.54,,,,
2004-01-15,666.37,657.75,665.12,,,,
2004-01-14,662.64,654.58,661.13,,,,
2004-01-13,662.06,651.12,655.10,,,,
2004-01-12,653.69,644.74,652.33,,,,
2004-01-09,653.90,644.66,650.48,,,,
2004-01-08,654.07,637.42,647.70,,,,
2004-01-07,648.79,633.47,635.47,,,,
2004-01-06,0.00,0.00,0.00,,,,
2004-01-05,645.30,640.84,644.55,,,,
2004-01-02,644.55,635.67,644.48,,,,
2003-12-30,644.06,633.50,636.29,,,,
2003-12-29,640.00,628.62,638.62,,,,
2003-12-23,628.86,618.44,628.11,,,,
2003-12-22,620.95,616.24,618.39,,,,
2003-12-19,619.67,612.08,618.55,,,,
2003-12-18,614.64,604.47,613.78,,,,
2003-12-17,615.55,605.92,606.08,,,,
2003-12-16,620.45,613.87,614.08,,,,
2003-12-15,625.37,618.78,621.60,,,,
2003-12-12,621.12,615.55,617.53,,,,
2003-12-11,618.48,613.43,617.44,,,,
2003-12-10,618.42,611.82,616.23,,,,
2003-12-09,621.79,616.51,616.97,,,,
2003-12-08,621.99,614.75,616.35,,,,
2003-12-05,629.34,621.72,623.24,,,,
2003-12-04,627.99,621.66,626.28,,,,
2003-12-03,626.43,620.36,622.54,,,,
2003-12-02,627.12,619.10,621.92,,,,
2003-12-01,622.31,615.72,621.26,,,,
2003-11-28,619.54,612.61,614.52,,,,
2003-11-27,617.36,609.49,617.02,,,,
2003-11-26,614.74,607.38,609.48,,,,
2003-11-25,616.30,611.81,612.38,,,,
2003-11-24,613.98,603.77,613.61,,,,
2003-11-21,606.50,601.38,603.13,,,,
2003-11-20,611.82,599.64,605.42,,,,
2003-11-19,612.69,606.48,608.38,,,,
2003-11-18,622.46,613.06,615.15,,,,
2003-11-17,629.43,617.40,617.52,,,,
2003-11-14,634.14,622.89,631.30,,,,
2003-11-13,625.11,618.44,624.65,,,,
2003-11-12,619.02,612.03,617.21,,,,
2003-11-11,617.08,611.93,614.33,,,,
2003-11-10,623.93,618.06,618.34,,,,
2003-11-07,628.17,617.91,622.38,,,,
2003-11-06,620.18,610.78,616.66,,,,
2003-11-05,617.98,609.86,612.08,,,,
2003-11-04,624.53,617.15,619.16,,,,
2003-11-03,625.99,618.22,622.09,,,,
2003-10-31,620.22,615.33,617.57,,,,
2003-10-30,627.29,614.64,620.28,,,,
2003-10-29,626.49,617.50,618.56,,,,
2003-10-28,622.84,615.17,622.03,,,,
2003-10-27,616.70,606.21,614.77,,,,
2003-10-24,606.68,599.69,605.59,,,,
2003-10-23,603.58,588.17,600.73,,,,
2003-10-22,608.16,594.31,594.31,,,,
2003-10-21,617.88,605.75,608.11,,,,
2003-10-20,614.12,606.95,613.02,,,,
2003-10-17,614.85,608.63,610.02,,,,
2003-10-16,618.07,607.84,609.67,,,,
2003-10-15,618.90,610.02,615.08,,,,
2003-10-14,611.00,602.71,610.69,,,,
2003-10-13,606.64,596.91,605.33,,,,
2003-10-10,602.35,595.80,596.21,,,,
2003-10-09,601.84,589.78,601.75,,,,
2003-10-08,597.76,587.72,592.96,,,,
2003-10-07,590.88,582.81,589.73,,,,
